total_doc_num=2265 doc_type=2 qry_type=2 
TotalDocSyl=0 TotalDocSylCan=0 Avg=1.00

Query   1 30001.query  54
SyllableNo=5 SyllableCanNo=5 Avg=1.00
VOM19981001.1000.3382 0.000e-000 VOM19981001.1000.3382
VOM19981003.0800.0638 0.000e-000 VOM19981003.0800.0638
VOM19981003.0800.2834 0.000e-000 VOM19981003.0800.2834
VOM19981003.0800.2865 0.000e-000 VOM19981003.0800.2865
VOM19981005.0800.0492 0.000e-000 VOM19981005.0800.0492
VOM19981005.1000.0270 0.000e-000 VOM19981005.1000.0270
VOM19981005.1000.2048 0.000e-000 VOM19981005.1000.2048
VOM19981006.0800.0453 0.000e-000 VOM19981006.0800.0453
VOM19981006.1000.3467 0.000e-000 VOM19981006.1000.3467
VOM19981009.0800.0213 0.000e-000 VOM19981009.0800.0213
VOM19981009.1000.0318 0.000e-000 VOM19981009.1000.0318
VOM19981010.0800.1539 0.000e-000 VOM19981010.0800.1539
VOM19981011.0800.0122 0.000e-000 VOM19981011.0800.0122
VOM19981012.1000.1801 0.000e-000 VOM19981012.1000.1801
VOM19981031.0900.0933 0.000e-000 VOM19981031.0900.0933
VOM19981105.0900.2712 0.000e-000 VOM19981105.0900.2712
VOM19981106.0900.3326 0.000e-000 VOM19981106.0900.3326
VOM19981108.0700.2062 0.000e-000 VOM19981108.0700.2062
VOM19981108.0900.0344 0.000e-000 VOM19981108.0900.0344
VOM19981112.0700.0338 0.000e-000 VOM19981112.0700.0338
VOM19981112.0700.1332 0.000e-000 VOM19981112.0700.1332
VOM19981112.0900.0299 0.000e-000 VOM19981112.0900.0299
VOM19981113.0700.0161 0.000e-000 VOM19981113.0700.0161
VOM19981113.0900.0147 0.000e-000 VOM19981113.0900.0147
VOM19981113.0900.1944 0.000e-000 VOM19981113.0900.1944
VOM19981113.0900.3330 0.000e-000 VOM19981113.0900.3330
VOM19981114.0700.0241 0.000e-000 VOM19981114.0700.0241
VOM19981114.0700.2466 0.000e-000 VOM19981114.0700.2466
VOM19981114.0900.0246 0.000e-000 VOM19981114.0900.0246
VOM19981114.0900.1947 0.000e-000 VOM19981114.0900.1947
VOM19981114.0900.3461 0.000e-000 VOM19981114.0900.3461
VOM19981115.0700.0248 0.000e-000 VOM19981115.0700.0248
VOM19981115.0700.2507 0.000e-000 VOM19981115.0700.2507
VOM19981115.0900.2656 0.000e-000 VOM19981115.0900.2656
VOM19981115.0900.3465 0.000e-000 VOM19981115.0900.3465
VOM19981116.0700.0621 0.000e-000 VOM19981116.0700.0621
VOM19981118.0900.1880 0.000e-000 VOM19981118.0900.1880
VOM19981118.0900.3409 0.000e-000 VOM19981118.0900.3409
VOM19981120.0900.1647 0.000e-000 VOM19981120.0900.1647
VOM19981123.0900.3316 0.000e-000 VOM19981123.0900.3316
VOM19981124.0700.0384 0.000e-000 VOM19981124.0700.0384
VOM19981124.0900.2365 0.000e-000 VOM19981124.0900.2365
VOM19981125.0700.0161 0.000e-000 VOM19981125.0700.0161
VOM19981125.0900.0143 0.000e-000 VOM19981125.0900.0143
VOM19981126.0700.0260 0.000e-000 VOM19981126.0700.0260
VOM19981126.0900.0278 0.000e-000 VOM19981126.0900.0278
VOM19981130.0700.0216 0.000e-000 VOM19981130.0700.0216
VOM19981130.0700.1059 0.000e-000 VOM19981130.0700.1059
VOM19981130.0900.2002 0.000e-000 VOM19981130.0900.2002
VOM19981130.0900.3409 0.000e-000 VOM19981130.0900.3409
VOM19981202.0700.0578 0.000e-000 VOM19981202.0700.0578
VOM19981202.0900.2936 0.000e-000 VOM19981202.0900.2936
